,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
755,756,a,c,50.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
756,757,a,c,3450.0,,,0,,,
757,758,a,c,19780.0,6.0,2008.0,0,,,
758,759,a,a,110.0,11.0,2012.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
759,760,a,a,560.0,1.0,2011.0,0,,,
760,761,a,a,2390.0,9.0,2012.0,0,,,
761,762,d,c,1280.0,,,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
762,763,d,c,32240.0,3.0,2010.0,0,,,
763,764,a,c,26490.0,,,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
764,765,a,c,25430.0,5.0,1999.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
765,766,d,c,9820.0,,,0,,,
766,767,a,c,13080.0,,,0,,,
767,768,a,c,2630.0,9.0,2012.0,0,,,
768,769,b,b,840.0,,,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
769,770,a,c,100.0,4.0,2015.0,0,,,
770,771,a,a,20640.0,9.0,2007.0,0,,,
771,772,d,c,1850.0,,,0,,,
772,773,a,a,200.0,,,0,,,
773,774,a,c,640.0,9.0,2013.0,0,,,
774,775,d,c,6970.0,12.0,2005.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
775,776,c,a,700.0,4.0,2009.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
776,777,d,c,8250.0,10.0,2004.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
777,778,a,a,340.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
778,779,a,a,16990.0,4.0,2004.0,0,,,
779,780,a,a,18160.0,,,0,,,
780,781,a,a,630.0,4.0,2007.0,0,,,
781,782,c,c,5390.0,8.0,2003.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
782,783,d,c,15490.0,,,0,,,
783,784,a,a,560.0,10.0,2014.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
784,785,d,c,970.0,7.0,2005.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
785,786,a,a,290.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
786,787,c,c,3210.0,6.0,2009.0,0,,,
787,788,a,c,1530.0,3.0,2013.0,0,,,
788,789,a,c,9770.0,7.0,2003.0,0,,,
789,790,d,c,9070.0,12.0,2003.0,0,,,
790,791,a,a,5950.0,4.0,2007.0,0,,,
791,792,d,a,17280.0,10.0,2009.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
792,793,d,a,2710.0,7.0,2006.0,0,,,
793,794,c,c,5090.0,9.0,2006.0,0,,,
794,795,d,a,510.0,,,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
795,796,a,c,7180.0,11.0,2012.0,0,,,
796,797,a,a,2090.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
797,798,a,a,9560.0,4.0,2001.0,0,,,
798,799,a,c,2700.0,,,0,,,
799,800,d,a,2020.0,7.0,2014.0,0,,,
800,801,d,a,48330.0,4.0,2013.0,0,,,
801,802,a,c,910.0,,,1,22.0,2011.0,"Feb,May,Aug,Nov"
802,803,d,a,1760.0,,,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
803,804,c,c,2100.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
804,805,d,a,24770.0,10.0,2011.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
805,806,d,a,260.0,,,1,44.0,2010.0,"Feb,May,Aug,Nov"
806,807,a,a,3870.0,4.0,2008.0,0,,,
807,808,a,a,18620.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov"
808,809,a,a,12770.0,10.0,2000.0,0,,,
809,810,d,c,9640.0,11.0,2013.0,0,,,
810,811,a,a,410.0,9.0,2012.0,0,,,
811,812,d,a,2590.0,9.0,2012.0,0,,,
812,813,a,a,1560.0,9.0,2003.0,0,,,
813,814,d,c,24530.0,7.0,2013.0,0,,,
814,815,a,a,590.0,1.0,1900.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
815,816,c,c,460.0,,,0,,,
816,817,a,a,140.0,3.0,2006.0,0,,,
817,818,d,a,490.0,,,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
818,819,a,c,720.0,10.0,2014.0,0,,,
819,820,a,c,1650.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
820,821,a,a,1700.0,9.0,2009.0,0,,,
821,822,a,c,410.0,11.0,2010.0,1,48.0,2010.0,"Mar,Jun,Sept,Dec"
822,823,a,c,16210.0,11.0,2010.0,0,,,
823,824,a,a,17570.0,,,0,,,
824,825,a,a,380.0,5.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
825,826,a,c,7980.0,6.0,2005.0,0,,,
826,827,a,c,250.0,1.0,2005.0,0,,,
827,828,d,c,3290.0,12.0,2014.0,0,,,
828,829,c,a,110.0,,,0,,,
829,830,a,c,6320.0,,,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
830,831,a,a,800.0,6.0,2007.0,0,,,
831,832,d,a,5070.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
832,833,d,c,3290.0,12.0,1999.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
833,834,a,a,3470.0,3.0,2012.0,0,,,
834,835,a,a,2890.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
835,836,a,a,2720.0,9.0,2012.0,0,,,
836,837,a,c,14600.0,4.0,2015.0,0,,,
837,838,d,c,6890.0,,,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
838,839,c,a,240.0,1.0,2015.0,0,,,
839,840,a,a,1070.0,9.0,2009.0,0,,,
840,841,a,a,27650.0,8.0,2004.0,0,,,
841,842,d,c,1200.0,11.0,2007.0,0,,,
842,843,c,a,60.0,4.0,2006.0,0,,,
843,844,a,a,2030.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
844,845,d,a,7860.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
845,846,a,c,8860.0,4.0,2004.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
846,847,c,c,190.0,,,1,31.0,2013.0,"Feb,May,Aug,Nov"
847,848,a,c,370.0,7.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
848,849,c,c,5000.0,,,0,,,
849,850,d,a,1120.0,5.0,2007.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
850,851,d,c,2330.0,,,1,49.0,2014.0,"Mar,Jun,Sept,Dec"
851,852,c,a,940.0,4.0,2004.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
852,853,a,a,14040.0,,,0,,,
853,854,c,a,4770.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
854,855,a,a,3440.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
855,856,a,a,3020.0,2.0,2010.0,0,,,
856,857,c,a,6270.0,8.0,2005.0,1,23.0,2014.0,"Mar,Jun,Sept,Dec"
857,858,a,a,3370.0,12.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
858,859,c,a,21770.0,7.0,2015.0,0,,,
859,860,c,c,5980.0,2.0,2010.0,0,,,
860,861,c,c,740.0,,,1,14.0,2013.0,"Mar,Jun,Sept,Dec"
861,862,a,c,2840.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
862,863,a,c,21370.0,11.0,2010.0,0,,,
863,864,a,a,1020.0,10.0,2012.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
864,865,d,c,2640.0,,,0,,,
865,866,d,a,9680.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
866,867,d,c,21810.0,9.0,2012.0,0,,,
867,868,d,c,1360.0,8.0,2005.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
868,869,c,a,230.0,10.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
869,870,a,a,780.0,4.0,2009.0,0,,,
870,871,d,c,10620.0,,,0,,,
871,872,a,c,3860.0,9.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
872,873,a,a,2040.0,11.0,2008.0,0,,,
873,874,a,a,3210.0,,,0,,,
874,875,d,a,5070.0,11.0,2007.0,1,18.0,2015.0,"Feb,May,Aug,Nov"
875,876,a,a,21790.0,4.0,2005.0,1,18.0,2015.0,"Feb,May,Aug,Nov"
876,877,a,c,29190.0,,,0,,,
877,878,d,c,1100.0,12.0,2014.0,0,,,
878,879,d,a,,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
879,880,a,c,4570.0,,,0,,,
880,881,a,a,180.0,3.0,2008.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
881,882,a,a,30.0,4.0,2013.0,0,,,
882,883,a,a,3200.0,6.0,2005.0,0,,,
883,884,d,c,7550.0,,,0,,,
884,885,a,a,480.0,12.0,2005.0,0,,,
885,886,a,c,12430.0,10.0,2004.0,0,,,
886,887,d,a,19700.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
887,888,d,a,4450.0,6.0,2012.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
888,889,d,a,18670.0,12.0,2005.0,0,,,
889,890,a,a,4450.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
890,891,a,c,350.0,,,1,31.0,2013.0,"Feb,May,Aug,Nov"
891,892,a,a,19370.0,4.0,2002.0,0,,,
892,893,a,a,130.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
893,894,a,a,190.0,11.0,2012.0,0,,,
894,895,a,c,4150.0,,,0,,,
895,896,a,c,170.0,9.0,2012.0,0,,,
896,897,c,c,3290.0,1.0,2007.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
897,898,a,a,18540.0,,,0,,,
898,899,d,a,2590.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
899,900,a,a,3920.0,4.0,2005.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
900,901,a,c,3170.0,4.0,2014.0,0,,,
901,902,a,a,310.0,5.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
902,903,d,c,7290.0,9.0,2014.0,0,,,
903,904,d,c,570.0,7.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
904,905,a,a,90.0,6.0,2014.0,0,,,
905,906,a,a,90.0,7.0,2010.0,0,,,
906,907,a,c,250.0,,,0,,,
907,908,a,a,1980.0,7.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
908,909,a,c,1680.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
909,910,d,c,12480.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
910,911,a,c,16490.0,,,0,,,
911,912,c,c,3100.0,5.0,2010.0,0,,,
912,913,a,a,280.0,,,0,,,
913,914,c,c,2640.0,4.0,2011.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
914,915,d,c,650.0,3.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
915,916,a,a,90.0,11.0,2012.0,0,,,
916,917,a,a,7240.0,2.0,2010.0,0,,,
917,918,a,c,18710.0,4.0,2015.0,0,,,
918,919,a,a,2620.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
919,920,a,a,850.0,2.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
920,921,a,a,840.0,9.0,2006.0,0,,,
921,922,d,a,2110.0,3.0,2006.0,0,,,
922,923,a,a,280.0,9.0,2008.0,0,,,
923,924,a,a,6420.0,4.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
924,925,c,a,470.0,3.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
925,926,d,c,5150.0,3.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
926,927,a,a,480.0,,,0,,,
927,928,d,c,1090.0,,,1,31.0,2013.0,"Feb,May,Aug,Nov"
928,929,a,c,4820.0,9.0,2013.0,0,,,
929,930,a,a,70.0,,,0,,,
930,931,a,c,1480.0,9.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
931,932,a,a,15700.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
932,933,a,c,6270.0,2.0,2005.0,0,,,
933,934,a,c,5460.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
934,935,a,c,22350.0,6.0,2010.0,0,,,
935,936,a,a,580.0,2.0,2008.0,0,,,
936,937,d,a,2810.0,,,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
937,938,a,a,2820.0,9.0,2009.0,0,,,
938,939,d,a,1340.0,,,0,,,
939,940,d,c,6470.0,9.0,2012.0,0,,,
940,941,a,a,1200.0,12.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
941,942,d,c,6860.0,,,1,18.0,2011.0,"Jan,Apr,Jul,Oct"
942,943,d,c,18020.0,,,0,,,
943,944,c,a,1670.0,7.0,2015.0,0,,,
944,945,a,c,12480.0,3.0,2011.0,0,,,
945,946,a,a,2220.0,12.0,2011.0,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
946,947,a,a,460.0,3.0,2014.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
947,948,b,b,1430.0,,,0,,,
948,949,a,a,870.0,3.0,2006.0,0,,,
949,950,a,a,8460.0,11.0,1994.0,0,,,
950,951,d,c,710.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
951,952,d,c,6300.0,10.0,2013.0,0,,,
952,953,a,a,19830.0,4.0,2006.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec"
953,954,a,a,390.0,2.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
954,955,d,c,1690.0,7.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
955,956,a,a,2330.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
956,957,d,c,1420.0,11.0,2012.0,0,,,
957,958,a,a,440.0,11.0,2013.0,0,,,
958,959,a,c,1060.0,12.0,2005.0,0,,,
959,960,d,a,8990.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov"
960,961,d,c,9430.0,,,0,,,
961,962,c,a,260.0,,,0,,,
962,963,a,c,23620.0,11.0,2013.0,0,,,
963,964,a,a,270.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
964,965,a,c,110.0,,,0,,,
965,966,a,a,760.0,2.0,2008.0,0,,,
966,967,a,c,3560.0,9.0,2013.0,1,36.0,2013.0,"Jan,Apr,Jul,Oct"
967,968,c,a,1190.0,,,0,,,
968,969,a,c,600.0,11.0,1999.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
969,970,a,a,910.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
970,971,c,a,1140.0,5.0,2011.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec"
971,972,a,a,14960.0,,,0,,,
972,973,d,c,330.0,,,1,28.0,2012.0,"Jan,Apr,Jul,Oct"
973,974,a,a,150.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
974,975,a,c,9630.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
975,976,a,a,4180.0,,,0,,,
976,977,a,a,520.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
977,978,c,c,3890.0,,,0,,,
978,979,a,c,2270.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
979,980,a,a,4420.0,9.0,2005.0,0,,,
980,981,d,c,2620.0,11.0,2002.0,0,,,
981,982,d,a,21930.0,,,0,,,
982,983,a,a,40.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
983,984,c,a,440.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
984,985,c,c,490.0,5.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
985,986,a,a,620.0,10.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov"
986,987,c,a,1690.0,6.0,2007.0,0,,,
987,988,a,a,30.0,11.0,2012.0,0,,,
988,989,a,a,1640.0,6.0,2006.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
989,990,d,a,20930.0,,,0,,,
990,991,a,a,1010.0,,,0,,,
991,992,a,a,2480.0,7.0,1990.0,0,,,
992,993,d,c,3460.0,10.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
993,994,a,a,2290.0,7.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
994,995,d,a,6560.0,12.0,2013.0,0,,,
995,996,c,a,2870.0,7.0,2015.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
996,997,d,c,5840.0,7.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
997,998,a,a,780.0,9.0,2005.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
998,999,d,c,15140.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
999,1000,a,c,2230.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
1000,1001,c,a,19640.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
1001,1002,d,c,1130.0,11.0,2008.0,0,,,
1002,1003,a,a,170.0,7.0,2013.0,1,27.0,2013.0,"Jan,Apr,Jul,Oct"
1003,1004,d,c,970.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
1004,1005,a,a,6480.0,,,0,,,
1005,1006,c,c,3890.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
1006,1007,c,c,4180.0,9.0,2012.0,0,,,
1007,1008,a,c,30.0,9.0,2010.0,0,,,
1008,1009,a,a,230.0,7.0,2004.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
1009,1010,d,c,4610.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
1010,1011,a,c,490.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
1011,1012,d,c,6330.0,6.0,2004.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
1012,1013,a,a,630.0,2.0,2015.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
1013,1014,a,c,210.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
1014,1015,d,c,9910.0,12.0,2010.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
1015,1016,c,c,550.0,,,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
1016,1017,c,a,110.0,11.0,2008.0,0,,,
1017,1018,c,c,140.0,9.0,2012.0,0,,,
1018,1019,d,c,2740.0,7.0,2014.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
1019,1020,a,a,40.0,8.0,2015.0,0,,,
1020,1021,a,a,1080.0,5.0,2011.0,0,,,
1021,1022,a,c,1520.0,,,0,,,
1022,1023,c,a,3740.0,2.0,2002.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
1023,1024,c,c,1990.0,1.0,2012.0,0,,,
1024,1025,a,a,720.0,11.0,2009.0,0,,,
1025,1026,c,a,450.0,6.0,2011.0,1,48.0,2012.0,"Mar,Jun,Sept,Dec"
1026,1027,a,c,190.0,6.0,2008.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
1027,1028,a,a,150.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
1028,1029,a,a,1590.0,3.0,2006.0,0,,,
1029,1030,a,a,36410.0,4.0,2008.0,0,,,
1030,1031,d,a,590.0,5.0,2001.0,0,,,
1031,1032,d,c,270.0,2.0,2013.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
1032,1033,a,a,7680.0,3.0,2006.0,0,,,
1033,1034,a,a,13750.0,4.0,2015.0,0,,,
1034,1035,a,a,27150.0,,,0,,,
1035,1036,d,c,9560.0,,,1,36.0,2013.0,"Jan,Apr,Jul,Oct"
1036,1037,a,c,150.0,,,0,,,
1037,1038,d,a,17290.0,10.0,2013.0,0,,,
1038,1039,a,c,70.0,6.0,1990.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
1039,1040,a,a,4030.0,2.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
1040,1041,c,a,1600.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
1041,1042,a,a,3440.0,,,1,31.0,2013.0,"Feb,May,Aug,Nov"
1042,1043,c,a,420.0,3.0,2006.0,0,,,
1043,1044,c,a,240.0,4.0,2015.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
1044,1045,a,c,26990.0,12.0,2013.0,0,,,
1045,1046,d,c,29070.0,4.0,2005.0,0,,,
1046,1047,a,a,3750.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
1047,1048,d,c,1860.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
1048,1049,a,a,370.0,7.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
1049,1050,d,c,13170.0,8.0,2014.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
1050,1051,c,a,200.0,7.0,1998.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
1051,1052,a,c,5080.0,,,1,31.0,2013.0,"Feb,May,Aug,Nov"
1052,1053,a,a,1710.0,7.0,2015.0,0,,,
1053,1054,a,c,13190.0,,,1,45.0,2013.0,"Feb,May,Aug,Nov"
1054,1055,c,a,1980.0,4.0,2009.0,0,,,
1055,1056,d,c,5350.0,,,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
1056,1057,d,c,3230.0,11.0,2011.0,0,,,
1057,1058,a,c,180.0,,,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
1058,1059,c,a,3380.0,4.0,2013.0,0,,,
1059,1060,a,c,3430.0,,,1,31.0,2013.0,"Feb,May,Aug,Nov"
1060,1061,d,c,8110.0,,,0,,,
1061,1062,d,a,190.0,9.0,2012.0,1,40.0,2012.0,"Feb,May,Aug,Nov"
1062,1063,a,c,6250.0,,,0,,,
1063,1064,a,c,420.0,,,0,,,
1064,1065,a,a,1290.0,,,1,35.0,2011.0,"Mar,Jun,Sept,Dec"
1065,1066,a,a,3350.0,,,0,,,
1066,1067,d,c,12020.0,7.0,2009.0,0,,,
1067,1068,d,c,5010.0,,,1,5.0,2013.0,"Jan,Apr,Jul,Oct"
1068,1069,a,c,18050.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
1069,1070,c,c,400.0,10.0,2008.0,0,,,
1070,1071,a,a,820.0,3.0,2012.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
1071,1072,a,c,5380.0,8.0,2015.0,1,5.0,2010.0,"Feb,May,Aug,Nov"
1072,1073,a,c,1710.0,,,1,44.0,2012.0,"Jan,Apr,Jul,Oct"
1073,1074,c,c,3330.0,10.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
1074,1075,a,c,1410.0,10.0,2013.0,0,,,
1075,1076,a,c,90.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
1076,1077,a,a,3750.0,11.0,2001.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
1077,1078,d,c,670.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
1078,1079,a,a,16680.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
1079,1080,a,a,2410.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
1080,1081,b,a,400.0,3.0,2006.0,0,,,
1081,1082,c,a,440.0,4.0,2002.0,0,,,
1082,1083,d,c,11540.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
1083,1084,a,a,190.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
1084,1085,c,a,4030.0,2.0,2015.0,0,,,
1085,1086,a,a,180.0,11.0,2013.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
1086,1087,d,c,2210.0,11.0,2011.0,0,,,
1087,1088,a,a,4300.0,3.0,2009.0,1,27.0,2013.0,"Jan,Apr,Jul,Oct"
1088,1089,d,a,5220.0,5.0,2009.0,0,,,
1089,1090,a,a,330.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
1090,1091,a,c,9990.0,,,0,,,
1091,1092,a,a,300.0,7.0,2000.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
1092,1093,c,c,10450.0,6.0,2009.0,0,,,
1093,1094,d,a,2380.0,3.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
1094,1095,a,a,690.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
1095,1096,a,c,1130.0,,,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
1096,1097,b,b,720.0,3.0,2002.0,0,,,
1097,1098,a,a,1830.0,11.0,2004.0,0,,,
1098,1099,a,c,200.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
1099,1100,a,a,540.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
1100,1101,d,c,4060.0,9.0,2012.0,0,,,
1101,1102,a,a,850.0,11.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
1102,1103,d,c,1340.0,10.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
1103,1104,d,a,260.0,2.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
1104,1105,c,c,330.0,11.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
1105,1106,a,c,5330.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
1106,1107,a,a,1400.0,6.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
1107,1108,a,a,540.0,4.0,2004.0,0,,,
1108,1109,c,a,3490.0,4.0,2011.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
1109,1110,c,c,900.0,9.0,2010.0,0,,,
1110,1111,a,a,1900.0,6.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
1111,1112,c,c,1880.0,4.0,2006.0,0,,,
1112,1113,a,c,9260.0,,,0,,,
1113,1114,a,c,870.0,,,0,,,
1114,1115,d,c,5350.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
